   1    20.0 1     50.0    1284.9   -1120.9     245.5     3800  5.00  0.0  1   0.020   g                    m0.0Full.dat 
   2    25.0 1     50.0     845.2    1812.6     111.0     3800  5.00  0.0  1   0.020   g                    m0.0Full.dat 
   3    24.0 3     18.5     -62.7     -22.8      54.0     1800  5.00  0.0  0   0.054   i                      BD1800.dat 
   4    23.0 3    106.9     270.3    -348.5       9.4     1800  5.00  0.0  0   0.009   i                      BD1000.dat 
   5    23.0 4    255.3    6560.5   -5723.1     307.0      325  4.35  0.0  2   0.004   z                       BD325.dat 
   6    23.0 3    545.3    -755.1    9888.0    -111.0      555  4.83  0.0  1   0.002   i                       BD555.dat 
   7    22.0 3     53.4    -406.0    -331.1      18.7     1500  5.00  0.0  0   0.019   i                      BD1500.dat 
   8    21.0 4     50.0    -380.1    -310.0      20.0     1000  5.00  0.0  0   0.020   z                      BD1000.dat 
   9    17.5 3     50.0    -186.4    -378.7      20.0     2500  5.00  0.0  0   0.020   i                    m7.0Full.dat 
  10    20.5 3     10.0     -76.0     -62.0     -23.0     2000  5.00  0.0  0   0.010   i                      BD2000.dat 
  11    19.0 2     50.0      70.7     -70.7      50.0     3750  7.50  0.0  0   0.020   r       bergeron_3750_75.dat_3950 
  12    20.0 2     50.0     -70.7      70.7      50.0     3750  7.50  0.0  0   0.020   r       bergeron_3750_75.dat_3950 
  13    21.0 2     50.0     -70.7     -70.7      50.0     3750  7.50  0.0  0   0.020   r       bergeron_3750_75.dat_3950 
  14    22.0 2     50.0      70.7      70.7      50.0     3750  7.50  0.0  0   0.020   r       bergeron_3750_75.dat_3950 
  15    23.0 2     50.0      70.7     -70.7      50.0     3750  7.50  0.0  0   0.020   r       bergeron_3750_75.dat_3950 
  16    23.3 4    200.0     -39.9      30.1      25.0     1000  5.00  0.0  0   0.005   z                      BD1000.dat 
  17    19.0 4    200.0      39.9     -30.1      26.0     1000  5.00  0.0  0   0.005   z                      BD1000.dat 
  18    23.3 4      0.1       0.0       0.0      27.0     1000  5.00  0.0  0  10.000   z                      BD1000.dat 
  19    19.0 4      0.1       0.0       0.0      28.0     1000  5.00  0.0  0  10.000   z                      BD1000.dat 
  20    27.0 2      2.0      20.0      10.0     -32.0     2000  5.00  0.0  0   0.500   r                      BD2000.dat 
  21    21.0 1     50.0     200.0    -200.0       0.0     9999  5.00  0.0  0   0.020   g                    PNastrom.dat 
  22    22.0 2    100.0    -150.0     150.0       0.0     1500  5.00  0.0  0   0.010   r                      BD1500.dat 
  23    22.0 2    100.0     150.0     150.0       0.0     1500  5.00  0.0  0   0.010   r                     BD1500e.dat 
  24    23.0 1     30.0     200.0     100.0       0.0     9999  5.00  0.0  0   0.033   g                    PNastrom.dat 
  25    22.0 2     25.0      30.0     -30.0       0.0     9999  5.00  0.0  0   0.040   r                 RedE1astrom.dat 
  26    22.0 2     25.0      30.0     -30.0       0.0     9999  5.00  0.0  0   0.040   r                 RedE2astrom.dat 
  27    20.0 3    100.0    2110.0    -545.0     -29.0     1500  5.00  0.0  0   0.010   i                      BD1500.dat 
  28    21.0 3     63.0    1500.0     200.0     -20.0     1500  5.00  0.0  0   0.016   i                      BD1500.dat 
  29    22.0 3     40.0   -1200.0    -125.0     -10.0     1500  5.00  0.0  0   0.025   i                      BD1500.dat 
  30    23.0 3     25.1     400.0    -100.0     -55.0     1500  5.00  0.0  0   0.040   i                      BD1500.dat 
